ZONAS,UF: PARANÁ,IBGE,RESULTADO,CANDIDATO,VOTOS,LATITUDE SUL,LONGITUDE W-GR,LATITUDE_DECIMAL,LONGITUDE_DECIMAL
1 A 4,Curitiba,4106902,29146,MOYSÉS LUPION,14304,25 º 25 ' 40 '' S,49 º 16 ' 23 '' W,-25.42777777777778,-49.27305555555555
1,Imbuial,4103107,716,MOYSÉS LUPION,579,25 º 17 ' 30 '' S        ,49 º 13 ' 27 '' W,-25.291666666666668,-49.22416666666667
2,Colombo,4104006,861,MOYSÉS LUPION,412,25 º 17 ' 30 '' S,49 º 13 ' 27 '' W,-25.291666666666668,-49.22416666666667
2,Almirante Tamandare,4100400,492,MOYSÉS LUPION,232,25 º 19 ' 29 '' S,49 º 18 ' 36 '' W,-25.32472222222222,-49.309999999999995
3,Araucaria,4101804,1111,MOYSÉS LUPION,804,25 º 35 ' 35 '' S,49 º 24 ' 37 '' W,-25.593055555555555,-49.41027777777778
4,Piraquara,4119509,1823,MOYSÉS LUPION,1010,25 º 26 ' 30 '' S,49 º 03 ' 48 '' W,-25.441666666666666,-49.06333333333333
5,Paranagua,4118204,3320,MOYSÉS LUPION,1204,25 º 31 ' 12 '' S,48 º 30 ' 33 '' W,-25.52,-48.509166666666665
5,Guaraquecaba,4109500,226,MOYSÉS LUPION,186,25 º 18 ' 24 '' S,48 º 19 ' 44 '' W,-25.30666666666667,-48.32888888888889
5,Guaratuba,4109609,163,MOYSÉS LUPION,138,25 º 52 ' 58 '' S,48 º 34 ' 29 '' W,-25.88277777777778,-48.57472222222223
6,Antonina,4101200,1876,MOYSÉS LUPION,1501,25 º 25 ' 43 '' S,48 º 42 ' 43 '' W,-25.428611111111113,-48.71194444444445
6,Morretes,4116208,1480,MOYSÉS LUPION,1007,25 º 28 ' 37 '' S,48 º 50 ' 04 '' W,-25.47694444444444,-48.83444444444444
